"CellID","X","Y","RF_Mean_Probability","RF_SD_Probability","RF_Min_Probability","RF_Max_Probability","RF_Prediction_n","Final_Model","Final_Threshold_Method","Final_Threshold","Prospective_P90","Prospectivity_Class"
15,531363.5791,4419989.11,0.00596672876651201,0.00398214243429154,0,0.0178259671826816,150,"RF","P90",0.0831089141044258,0,"Below_P90"
16,531388.5791,4419989.11,0.0256686018391358,0.0193336344231252,0,0.0865333868036663,150,"RF","P90",0.0831089141044258,0,"Below_P90"
17,531413.5791,4419989.11,0.0429615442183301,0.0256094095009413,0,0.124191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
18,531438.5791,4419989.11,0.0205668068487334,0.0100493030357137,0,0.0484316315191352,150,"RF","P90",0.0831089141044258,0,"Below_P90"
19,531463.5791,4419989.11,0.0415056695265731,0.0250679705872895,0,0.123191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
20,531488.5791,4419989.11,0.0412411400118321,0.0251012672033205,0,0.123191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
21,531513.5791,4419989.11,0.041093805868176,0.0251362316440489,0,0.123191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
22,531538.5791,4419989.11,0.0409419951046047,0.0250950514729457,0,0.123191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
23,531563.5791,4419989.11,0.0408524293699402,0.0250838948322306,0,0.123191202063963,150,"RF","P90",0.0831089141044258,0,"Below_P90"
24,531588.5791,4419989.11,0.020618288270555,0.0102764278535112,0,0.0497649648524685,150,"RF","P90",0.0831089141044258,0,"Below_P90"
25,531613.5791,4419989.11,0.0211933448225723,0.0105356701872873,0,0.0512649648524686,150,"RF","P90",0.0831089141044258,0,"Below_P90"
26,531638.5791,4419989.11,0.0265692930054769,0.0120153643256405,0,0.0665569876444914,150,"RF","P90",0.0831089141044258,0,"Below_P90"
27,531663.5791,4419989.11,0.0213961548293781,0.0107586135442035,0,0.0527850917943689,150,"RF","P90",0.0831089141044258,0,"Below_P90"
28,531688.5791,4419989.11,0.0179543190148819,0.00937638726035088,0,0.0444287086861756,150,"RF","P90",0.0831089141044258,0,"Below_P90"
29,531713.5791,4419989.11,0.0177658566554063,0.00921168162916413,0,0.0444287086861756,150,"RF","P90",0.0831089141044258,0,"Below_P90"
30,531738.5791,4419989.11,0.0189493023029836,0.0102893544288012,0,0.0444287086861756,150,"RF","P90",0.0831089141044258,0,"Below_P90"
